Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Secondary School Roll,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/0279b31b-061e-4ac3-9ae8-8f0a866cb734,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=63a62370-2ba6-4fc8-8811-cfb513ba8fc3,Secondary School Roll.csv,2017-11-16T14:25:40.882Z,2017-11-16T15:31:41.274Z,,,csv,,Social / Community,Children Education Young People,OGL3,"""Number of Pupils in Secondary schools in Dumfries and Galloway"""
Community Council Boundaries,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/1efec530-bc75-40c3-8578-e263b5d750ab,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=8479d7d9-5c9a-4415-afff-46ddbc164fcb,Community Council Boundaries (Cleaned).zip,2018-07-12T12:59:47.961Z,2018-10-02T09:02:04.110Z,,,zip,,Geospatial,Business Social Community,OGL3,"""Community Council Boundaries"""
Community Council Boundaries,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/1efec530-bc75-40c3-8578-e263b5d750ab,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/cd71ccc9-9e96-473b-b542-063aa16acfc1/1/urql,API,2018-07-12T12:59:47.961Z,2018-10-02T09:02:04.110Z,,,json,,Geospatial,Business Social Community,OGL3,"""Community Council Boundaries"""
Biosphere Reserves,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/8ae382e0-1cea-447f-9dc3-b6d1503d08f9,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=3accd5d4-8c39-4aad-b57a-e176df00e039,Biosphere.zip,2017-11-22T14:12:02.428Z,2018-09-27T13:57:08.007Z,,,zip,,Water,Agriculture enviroment,OGL3,"""Areas of terrestrial and coastal ecosystems promoting the conservation of biodiversity with sustainable use"""
Biosphere Reserves,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/8ae382e0-1cea-447f-9dc3-b6d1503d08f9,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/a48c63c4-b077-45ca-8bcb-5a9ac2869a41/1/urql,API,2017-11-22T14:12:02.428Z,2018-09-27T13:57:08.007Z,,,json,,Water,Agriculture enviroment,OGL3,"""Areas of terrestrial and coastal ecosystems promoting the conservation of biodiversity with sustainable use"""
Core Paths,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/a0518b9b-2b70-4334-bd7e-6631adf67c11,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/2b1c99ec-bc89-44a9-89f1-54218f52318d/1/urql,API,2018-07-12T12:59:26.547Z,2020-02-04T11:09:15.072Z,,,json,,Geospatial,Public Access Routes  Walking and Cycling  ,OGL3,"""Core Paths"""
Primary School Attendance,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/3090c5a4-79f9-4659-b549-7abf59bcfddb,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/b2b9e26f-0692-4a4f-8a61-1f51e45cbf09/1/urql,API,2017-11-15T10:28:01.702Z,2017-11-16T15:31:04.253Z,,,json,,Social / Community,Children Schools Education,OGL3,"""Annual Attendance Percentage of Primary Schools in Dumfries and Galloway"""
Primary School Attendance,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/3090c5a4-79f9-4659-b549-7abf59bcfddb,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=6d588204-d094-47e7-82e7-bce532ca2c35,school_attendance.csv,2017-11-15T10:28:01.702Z,2017-11-16T15:31:04.253Z,,,csv,,Social / Community,Children Schools Education,OGL3,"""Annual Attendance Percentage of Primary Schools in Dumfries and Galloway"""
War Memorials,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/f509dd00-1165-4320-bb46-ccd30e6065fc,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/49940e83-2d78-45c3-ab67-c1254be8599d/1/urql,API,2018-01-25T16:23:29.465Z,2018-03-01T11:57:03.156Z,,,json,,Social / Community,Community Assets,OGL3,"""First and Second World War Memorials In Dumfries and Galloway"""
War Memorials,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/f509dd00-1165-4320-bb46-ccd30e6065fc,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=ed75f3c8-f6bf-42dc-9540-c18467f4597b,War_Memorials.csv,2018-01-25T16:23:29.465Z,2018-03-01T11:57:03.156Z,,,csv,,Social / Community,Community Assets,OGL3,"""First and Second World War Memorials In Dumfries and Galloway"""
Secondary Schools,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/85141456-67b4-4af9-8c24-17e35d4753f6,https://data.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/resource?resourceGUID=d50c4283-1e69-4347-a7e5-93b556135152,Secondary Schools.csv,2017-11-17T11:31:23.930Z,2018-02-21T11:01:27.005Z,,,csv,,Social / Community,Children Education Schools,OGL3,"""Secondary Schools in Dumfries and Galloway"""
Secondary Schools,Dumfries and Galloway Council,https://usmart.io/org/dumgal/discovery/discovery-view-detail/85141456-67b4-4af9-8c24-17e35d4753f6,https://api.usmart.io/org/9762f781-5c04-4759-a70b-afc585af1d12/7631a55f-a450-4658-ae08-a1c3ddc626f7/1/urql,API,2017-11-17T11:31:23.930Z,2018-02-21T11:01:27.005Z,,,json,,Social / Community,Children Education Schools,OGL3,"""Secondary Schools in Dumfries and Galloway"""
