Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Scotland North East Trunk Roads - Daily cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/05b83b02-7d57-4b2f-a8ad-209ba1a15ad9,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/91a9d05a-17bc-4c2a-83c8-38f673e86099/1/urql,API,2022-06-21T11:35:27.261Z,2023-11-24T05:01:44.096Z,,,json,,Transport / Mobility,Active Travel Cycling Transport Traffic counts Counter,OGL3,"""A real-time daily upload from each cycling counter within the Scotland North East Trunk Roads network"""
Scotland North East Trunk Roads - Hourly cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/56f8d127-9b79-4e91-bec6-238f62d4071a,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/242476ea-ca1c-4dc2-b8e8-30b7b9349a6b/1/urql,API,2022-06-21T11:33:52.834Z,2023-11-24T05:01:43.955Z,,,json,,Transport / Mobility,Cycling Traffic counts Transport Counter Active Travel,OGL3,"""A real-time hourly upload from each cycling counter within Scotland's North East Trunk Roads network."""
Scotland South East Trunk Roads - Hourly cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/4e329609-94e9-43b5-a221-be989390a391,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/85792890-4026-4282-a146-ff71f9470efc/1/urql,API,2022-06-21T11:03:19.018Z,2023-11-24T05:01:44.261Z,,,json,,Transport / Mobility,Active Travel Counter Transport Traffic counts Cycling,OGL3,"""A real-time hourly upload from each cycling counter within Scotland's South East Trunk Roads network."""
Scotland South West Trunk Roads - Hourly cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/eff3702a-1369-4647-8a40-926e0bd7076c,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/fca80b83-4188-48da-bb54-fec0ba07be2b/1/urql,API,2022-06-21T10:51:46.101Z,2023-11-24T05:01:44.450Z,,,json,,Transport / Mobility,Cycling Counter Traffic counts Active Travel Transport,OGL3,"""A real-time hourly upload from each cycling counter within Scotland's South West Trunk Roads network."""
Aberdeen City Council - Daily walking data,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/2d04de67-3e26-4fee-bb60-ad8c4d82e680,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/a854dc99-f666-4cc4-b08d-644027e74f0c/1/urql,API,2023-04-26T14:42:25.119Z,2023-11-24T05:01:44.342Z,,,json,,Transport / Mobility,Active Travel Counter Traffic counts Walking Transport,OGL3,"""A real-time daily upload from each pedestrian counter within Aberdeen City Council's network."""
North Ayrshire Council - Daily  walking data,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f235ba40-d7f9-4852-874f-97a8b899cffa,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/679eb72b-be02-4648-b1d0-f8e8b757d3e7/1/urql,API,2023-05-02T16:18:08.921Z,2023-11-24T05:01:43.949Z,,,json,,Transport / Mobility,Transport Walking Active Travel Counter Traffic counts,OGL3,"""A real-time daily upload from each pedestrian counter within North Ayrshire Council's network."""
Scottish Canals - Hourly cycling counts from Sustrans' automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/e345430e-9d19-4258-a992-af820b4d7ca7,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/57327a41-7a43-4ca9-a4a2-5951a89c058c/1/urql,API,2023-09-19T12:06:40.976Z,2023-11-24T05:01:44.565Z,,,json,,Transport / Mobility,Cycling Traffic counts Active Travel Transport Counter,OGL3,"""A real-time hourly upload from each cycling counter within Scottish Canals network."""
Scottish Canals - Daily cycling counts from Sustrans' automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/a09fc4e9-5fb7-478d-b250-fe8ab2b6ad77,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/2a977928-2e62-4f5d-a10f-1e720ba4eef3/1/urql,API,2023-09-19T12:06:59.671Z,2023-11-24T05:01:44.563Z,,,json,,Transport / Mobility,Active Travel Counter Cycling Transport Traffic counts,OGL3,"""A real-time daily upload from each cycling counter within Scottish Canals network."""
Comhairle nan Eilean Siar (Western Isles Council) - Hourly cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/2f431f6f-5fea-42a5-9504-7f1c0c7ce67d,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/5376053f-a413-47b6-9310-9d43bba464e9/1/urql,API,2021-07-03T15:11:51.836Z,2023-11-24T05:01:43.858Z,,,json,,Transport / Mobility,Active Travel Cycling Traffic counts,OGL3,"""A real-time hourly upload from each cycling counter within Comhairle nan Eilean Siar's network."""
Aberdeenshire Council - Daily cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/2f91aa68-aebf-4d7b-bea6-9342995848cc,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/d7e5da9d-e676-4e5d-8959-b5a0a59ba18c/1/urql,API,2021-10-23T14:31:16.854Z,2023-11-21T19:00:14.958Z,,,json,,Transport / Mobility,Active Travel Cycling Traffic counts,OGL3,"""A real-time daily upload from each cycling counter within Aberdeenshire  Council's network."""
