Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Car Parks,Moray Council,https://www.moray.gov.uk/a-z-of-online-forms/open-data/,https://www.moray.gov.uk/media/vdefjh1p/carparks.csv,NULL,NULL,2.99 KB,KB,CSV,42,NULL,CarParks,Open Government Licence 3.0 (United Kingdom),"Details of location, number of spaces, whether paid or free and times of opening (where applicable)"
Cemeteries,Moray Council,https://www.moray.gov.uk/a-z-of-online-forms/open-data/,https://www.moray.gov.uk/media/1zsepkxn/cemeteries.csv,NULL,NULL,3.78 KB,KB,CSV,80,NULL,Cemeteries,Open Government Licence 3.0 (United Kingdom),"Details of name, location and whether Moray Council owned"
Play Parks,Moray Council,https://www.moray.gov.uk/a-z-of-online-forms/open-data/,https://www.moray.gov.uk/media/x0ullgvw/playparks.csv,NULL,NULL,10.45 KB,KB,CSV,91,NULL,PlayParks,Open Government Licence 3.0 (United Kingdom),Details of play park name and location
Recycling Centres,Moray Council,https://www.moray.gov.uk/a-z-of-online-forms/open-data/,https://www.moray.gov.uk/media/ji4pqhp1/recyclingcentres.csv,NULL,NULL,1.28 KB,KB,CSV,9,NULL,RecyclingCentres,Open Government Licence 3.0 (United Kingdom),"Details of name, location, opening times and contact telephone number (where applicable)"
Recycling Points,Moray Council,https://www.moray.gov.uk/a-z-of-online-forms/open-data/,https://www.moray.gov.uk/media/cqlpimvq/recyclingpoints.csv,NULL,NULL,1.62 KB,KB,CSV,23,NULL,RecyclingPoints,Open Government Licence 3.0 (United Kingdom),Details of name and location
