Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Polling place locations within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_polling_places.kmz,NULL,22/04/2022,13.53,KB,KMZ,NULL,NULL,NULL,Open Government,NULL
Primary school catchment boundaries within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_primary_school_catchments.kmz,NULL,06/01/2021,394.38,KB,KMZ,NULL,NULL,NULL,Open Government,NULL
Primary school locations within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_primary_school_locations.kmz,NULL,14/02/2018,7.26,KB,KMZ,NULL,NULL,NULL,Open Government,NULL
Public toilets,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/public_toilets.kmz,NULL,11/10/2018,26.52,KB,KMZ,NULL,NULL,NULL,Open Government,NULL
Recycling centres,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/recycling_centres.kmz,NULL,18/10/2018,5.84,KB,KMZ,NULL,NULL,NULL,Open Government,NULL
Secondary school catchment boundaries within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_secondary_school_catchments.kmz,NULL,06/01/2021,322.8,KB,KMZ,NULL,NULL,NULL,Open Government,NULL
Secondary school locations within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/kml/aberdeenshire_secondary_school_locations.kmz,NULL,14/02/2018,2.09,KB,KMZ,NULL,NULL,NULL,Open Government,NULL
Wind turbine applications within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/opendata/kml/WindTurbineApplications.kmz,NULL,25/11/2021,1.69,MB,KMZ,NULL,NULL,NULL,Open Government,NULL
Wind turbine applications within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/opendata/csv/WindTurbineApplications.csv,NULL,25/11/2021,633.28,KB,CSV,NULL,NULL,NULL,Open Government,NULL
Wind turbine applications within Aberdeenshire,Aberdeenshire Council,https://www.aberdeenshire.gov.uk/online/open-data/,https://online.aberdeenshire.gov.uk/apps/OpenData/WindTurbineApplications.zip,NULL,25/11/2021,986.2,KB,ZIP,NULL,NULL,NULL,Open Government,NULL
