Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileType,NumRecords,Tags,License,Description
Recycling Centres,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/recycling-centres,http://spatialdata-accabdn.opendata.arcgis.com/datasets/5dbd92e1aba9467b8de058d0347a5b04_0,20/07/2020,22/09/2020,,URL,5,Environment;Recycling;Rubbish;Tip;Waste;Disposal,Open Government Licence 3.0 (United Kingdom),"Point dataset with the locations of Recycling Centre’s in Aberdeen City Council local authority area. Attribute information includes site name, road name, locality and postcode."
Recycling Centres,Aberdeen City Council,https://data.aberdeencity.gov.uk/dataset/recycling-centres,"http://spatialdata-accabdn.opendata.arcgis.com/datasets/5dbd92e1aba9467b8de058d0347a5b04_0.geojson?outSR={%22latestWkid%22:27700,%22wkid%22:27700}",20/07/2020,22/09/2020,1.5KB,GeoJSON,5,Environment;Recycling;Rubbish;Tip;Waste;Disposal,Open Government Licence 3.0 (United Kingdom),"Point dataset with the locations of Recycling Centre’s in Aberdeen City Council local authority area. Attribute information includes site name, road name, locality and postcode."
